CorrectClone	OldClone	matched_mother	matched_father
26332	25808	2048	7073
26336	25812	2048	7073
26340	25816	2048	7073
26343	25819	2048	7073
25501	24977	2066	7073
25505	24981	2066	7073
25507	24983	2066	7073
25510	24986	2066	7073
25511	24987	2066	7073
25512	24988	2066	7073
27203	26679	2066	7073
27217	26693	2066	7073
27228	26704	2066	7073
27232	26708	2066	7073
27249	26725	2066	7073
27252	26728	2066	7073
27260	26736	2066	7073
27264	26740	2066	7073
27269	26745	2066	7073
27276	26752	2066	7073
27277	26753	2066	7073
27278	26754	2066	7073
27283	26759	2066	7073
27285	26761	2066	7073
27289	26765	2066	7073
27292	26768	2066	7073
27295	26771	2066	7073
27302	26778	2066	7073
26573	26049	2283	7073
27408	26884	2283	7073
27415	26891	2283	7073
27417	26893	2283	7073
27425	26901	2283	7073
27427	26903	2283	7073
27428	26904	2283	7073
27430	26906	2283	7073
27431	26907	2283	7073
27432	26908	2283	7073
27433	26909	2283	7073
27437	26913	2283	7073
27438	26914	2283	7073
27441	26917	2283	7073
27442	26918	2283	7073
27446	26922	2283	7073
27447	26923	2283	7073
27454	26930	2283	7073
25755	25231	4593	7073
25759	25235	4593	7073
25767	25243	4593	7073
27320	26796	4593	7073
27323	26799	4593	7073
27329	26805	4593	7073
27331	26807	4593	7073
27332	26808	4593	7073
27341	26817	4593	7073
27344	26820	4593	7073
27346	26822	4593	7073
27351	26827	4593	7073
27352	26828	4593	7073
27354	26830	4593	7073
27355	26831	4593	7073
1863	1863	NA	NA
1909	1909	NA	NA
1950	1950	NA	NA
2048	2048	NA	NA
2066	2066	NA	NA
2283	2283	NA	NA
2365	2365	NA	NA
2393	2393	NA	NA
2515	2515	NA	NA
2572	2572	NA	NA
2683	2683	NA	NA
4593	4593	NA	NA
6909	6909	NA	NA
7073	7073	NA	NA
